cik,period,metric,source_tag,n_candidates,caveat_codes
1090872,2024-Q1,revenue,RevenueFromContractWithCustomerExcludingAssessedTax,2,duplicate_candidates_resolved;fallback_tag_used
1090872,2024-Q1,total_assets,Assets,2,duplicate_candidates_resolved
1090872,2024-Q1,total_liabilities,Liabilities,2,duplicate_candidates_resolved
1090872,2024-Q2,current_assets,AssetsCurrent,2,duplicate_candidates_resolved
1090872,2024-Q2,current_liabilities,LiabilitiesCurrent,2,duplicate_candidates_resolved
1090872,2024-Q2,net_income,NetIncomeLoss,4,duplicate_candidates_resolved
1090872,2024-Q2,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2,duplicate_candidates_resolved
1090872,2024-Q2,revenue,RevenueFromContractWithCustomerExcludingAssessedTax,4,duplicate_candidates_resolved;fallback_tag_used
1090872,2024-Q2,total_assets,Assets,2,duplicate_candidates_resolved
1090872,2024-Q2,total_liabilities,Liabilities,2,duplicate_candidates_resolved
1090872,2024-Q3,current_assets,AssetsCurrent,2,duplicate_candidates_resolved
1090872,2024-Q3,current_liabilities,LiabilitiesCurrent,2,duplicate_candidates_resolved
1090872,2024-Q3,net_income,NetIncomeLoss,4,duplicate_candidates_resolved
1090872,2024-Q3,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2,duplicate_candidates_resolved
1090872,2024-Q3,revenue,RevenueFromContractWithCustomerExcludingAssessedTax,4,duplicate_candidates_resolved;fallback_tag_used
1090872,2024-Q3,total_assets,Assets,2,duplicate_candidates_resolved
1090872,2024-Q3,total_liabilities,Liabilities,2,duplicate_candidates_resolved
1090872,2025-Q1,current_assets,AssetsCurrent,2,duplicate_candidates_resolved
1090872,2025-Q1,current_liabilities,LiabilitiesCurrent,2,duplicate_candidates_resolved
1090872,2025-Q1,net_income,NetIncomeLoss,2,duplicate_candidates_resolved
1090872,2025-Q1,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2,duplicate_candidates_resolved
1090872,2025-Q1,revenue,RevenueFromContractWithCustomerExcludingAssessedTax,2,duplicate_candidates_resolved;fallback_tag_used
1090872,2025-Q1,total_assets,Assets,2,duplicate_candidates_resolved
1090872,2025-Q1,total_liabilities,Liabilities,2,duplicate_candidates_resolved
1090872,2025-Q2,current_assets,AssetsCurrent,2,duplicate_candidates_resolved
1090872,2025-Q2,current_liabilities,LiabilitiesCurrent,2,duplicate_candidates_resolved
1090872,2025-Q2,net_income,NetIncomeLoss,4,duplicate_candidates_resolved
1090872,2025-Q2,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2,duplicate_candidates_resolved
1090872,2025-Q2,revenue,RevenueFromContractWithCustomerExcludingAssessedTax,4,duplicate_candidates_resolved;fallback_tag_used
1090872,2025-Q2,total_assets,Assets,2,duplicate_candidates_resolved
1090872,2025-Q2,total_liabilities,Liabilities,2,duplicate_candidates_resolved
1090872,2025-Q3,current_assets,AssetsCurrent,2,duplicate_candidates_resolved
1090872,2025-Q3,current_liabilities,LiabilitiesCurrent,2,duplicate_candidates_resolved
1090872,2025-Q3,net_income,NetIncomeLoss,4,duplicate_candidates_resolved
1090872,2025-Q3,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2,duplicate_candidates_resolved
1090872,2025-Q3,revenue,RevenueFromContractWithCustomerExcludingAssessedTax,4,duplicate_candidates_resolved;fallback_tag_used
1090872,2025-Q3,total_assets,Assets,2,duplicate_candidates_resolved
1090872,2025-Q3,total_liabilities,Liabilities,2,duplicate_candidates_resolved
1090872,2026-Q1,current_assets,AssetsCurrent,2,duplicate_candidates_resolved
1090872,2026-Q1,current_liabilities,LiabilitiesCurrent,2,duplicate_candidates_resolved
1090872,2026-Q1,net_income,NetIncomeLoss,2,duplicate_candidates_resolved
1090872,2026-Q1,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2,duplicate_candidates_resolved
1090872,2026-Q1,revenue,RevenueFromContractWithCustomerExcludingAssessedTax,2,duplicate_candidates_resolved;fallback_tag_used
1090872,2026-Q1,total_assets,Assets,2,duplicate_candidates_resolved
1090872,2026-Q1,total_liabilities,Liabilities,2,duplicate_candidates_resolved
